IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
40;Avaya;40;Y;;;/upload/iblock/efa/efa49bd5503516c4ee14d278365b25d2.png;;text;;;text;;500;;;;
41;Северная Аврора;41;Y;;;/upload/iblock/dda/dda2e98ddea22eeae6466cc5d0671e67.png;;text;;;text;;500;;;;
42;AXIS;42;Y;;;/upload/iblock/245/2454742bc72724dba50991adf01efa67.png;;text;;;text;;500;;;;
43;BOLID;43;Y;;;/upload/iblock/62d/62df1d9719d2db52118f0fc7600dcd39.png;;text;;;text;;500;;;;
44;BOSCH;44;Y;;;/upload/iblock/70c/70cc0591d0117db3f5d5756077197812.png;;text;;;text;;500;;;;
45;CISCO;45;Y;;;/upload/iblock/dbb/dbbdfe28a3c9d1ea3ab921c64a182d53.png;;text;;;text;;500;;;;
46;DEPO;46;Y;;;/upload/iblock/1fd/1fd0bbe8f3f88304d2ab928d5166a19e.png;;text;;;text;;500;;;;
47;DKC;47;Y;;;/upload/iblock/4c5/4c52ac449da43f6202eae8ae32a41ee6.png;;text;;;text;;500;;;;
48;D-Link;48;Y;;;/upload/iblock/e16/e167d42a9928e91977831d698e9f8d48.png;;text;;;text;;500;;;;
49;GEUTEBRUCK;49;Y;;;/upload/iblock/7e5/7e554dbc9121de21c73c493aeb1e1bf3.png;;text;;;text;;500;;;;
50;HP;50;Y;;;/upload/iblock/947/94728082dfc863eec97c6b3649dd060f.png;;text;;;text;;500;;;;
51;HUAWEI;51;Y;;;/upload/iblock/2ef/2ef42ff12af65dd650cdf7fe171fbfa7.png;;text;;;text;;500;;;;
52;IBM;52;Y;;;/upload/iblock/082/0826a7dc65a7a2158be87865dc682f3b.png;;text;;;text;;500;;;;
53;IEK;53;Y;;;/upload/iblock/609/609a2132955fd3914ea43df2d826b95d.png;;text;;;text;;500;;;;
54;Kaspersky;54;Y;;;/upload/iblock/26f/26fed49a19dd2212b11224b590e379a9.png;;text;;;text;;500;;;;
55;КОНКОРД;55;Y;;;/upload/iblock/a5b/a5bd930a8f456fc1f462c1441233255e.png;;text;;;text;;500;;;;
56;LEGRAND;56;Y;;;/upload/iblock/386/3863c9175400f25daeced8a4ba1d32ac.png;;text;;;text;;500;;;;
57;ЛИССАНТ;57;Y;;;/upload/iblock/a3a/a3aadfcffcaa7ae90411ae6be718a9c2.png;;text;;;text;;500;;;;
58;SCHNEIDER;58;Y;;;/upload/iblock/8c7/8c7df0e4e7ec60b51dc4929f714c4290.png;;text;;;text;;500;;;;
59;SIEMENS;59;Y;;;/upload/iblock/a82/a829ccf7ef9b5d1d9f3e9c59ad4d7ed5.png;;text;;;text;;500;;;;
60;АЛЮР;60;Y;;;/upload/iblock/687/687b9c71ee9909a46b3a0f42653220e3.png;;text;;;text;;500;;;;
61;AMP;61;Y;;;/upload/iblock/f27/f277a978b7549b95feccb6207341bdef.png;;text;;;text;;500;;;;
